"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1987824985210319308","Mon Nov 10 10:09:43 +0000 2025","0","kak mau tanya ini saya mau mendaftar npwp secara online di coretax tetapi nik sudah terdaftar dan ketika mencoba aktivasi akun saat mengisi email malah muncul tulisan operasi gagal terus kenapa ya @kring_pajak","1987824985210319308","","","in","","0","1","0","https://x.com/undefined/status/1987824985210319308","1799435588908843008",
"1987822089253101978","Mon Nov 10 09:58:12 +0000 2025","0","@kring_pajak min klau mau minta salinan STP dari tahun2 sebelum coretax bisa minta melalui mana ya?","1987822089253101978","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987822089253101978","892632032387358720",
"1987821541846085816","Mon Nov 10 09:57:01 +0000 2025","1","Kepala KPP Pratama Lahat Andy Whisnu Wardhana menyatakan kegiatan ini sebagai salah satu bentuk komunikasi yang baik dalam upaya penerimaan pajak saat ini. Selain itu dilakukan pembahasan terkait aktivasi akun Coretax serta implementasi sistem Coretax di instansi pemerintahan.","1987821789133824188","","pajakpagaralam","in","","0","0","0","https://x.com/undefined/status/1987821789133824188","3239722303",
"1987818124578820497","Mon Nov 10 09:42:27 +0000 2025","0","️November ber -nya apa Beramai-ramai Aktivasi Akun Coretax yuk #KawanPajak! Informasi lengkapnya bisa #KawanPajak cek di https://t.co/sUV2Y2FKCk Aktivasi akun Coretax Urusan Pajak Makin Relax ~ https://t.co/FhobUjJDeR","1987818124578820497","https://pbs.twimg.com/media/G5YmC7FbEAAuzON.jpg","","in","","0","0","0","https://x.com/undefined/status/1987818124578820497","3328188396",
"1987736174996472304","Mon Nov 10 09:34:51 +0000 2025","0","@Abryanti_ Apabila permohonan disampaikan melalui Coretax silakan masuk ke laman Coretax &gt; Pembayaran &gt; Formulir Restitusi Pajak. Silakan melakukan pengisian data yang diminta secara lengkap termasuk dokumen pendukung lalu klik Submit.(5/5) Tks*Ikal","1987816213846929409","","kring_pajak","in","","0","0","0","https://x.com/undefined/status/1987816213846929409","4564565058",
"1987736174996472304","Mon Nov 10 09:34:16 +0000 2025","0","@Abryanti_ Permohonan dapat diajukan langsung ke KPP atau melalui laman Coretax. Apabila Kakak mengajukan PYSTT ke KPP silakan mengisi dan menandatangani formulir PYSTT disertai dengan dokumen pendukung berupa penghitungan pajak yang seharusnya tidak terutang dan/atau alasan...(3/5)","1987816066878476521","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987816066878476521","4564565058",
"1987736174996472304","Mon Nov 10 09:33:34 +0000 2025","1","@Abryanti_ Hai Kak. Sejak berlakunya Coretax atas kesalahan pembayaran tersebut tidak bisa melalui mekanisme Pemindahbukuan (Pbk). Silakan Kakak mengajukan permohonan pengembalian yang seharusnya tidak terutang (PYSTT).(1/5)","1987815887685189754","","Abryanti_","in","","0","1","0","https://x.com/undefined/status/1987815887685189754","4564565058",
"1986604898885247018","Mon Nov 10 09:30:45 +0000 2025","0","@liviaanih @DKA111111 @bubu_si_beruang Hai Kak. Apakah yang dimaksud adalah kolom DPP Nilai Lain pada Coretax? Jika iya sesuai PMK-131 Tahun 2024 untuk pengisian kolom DPP Nilai Lain dihitung sebesar 11/12 dari nilai impor harga jual atau penggantian. (1/2)","1987815181184008607","","liviaanih","in","","0","1","0","https://x.com/undefined/status/1987815181184008607","4564565058",
"1987771331807772767","Mon Nov 10 09:28:54 +0000 2025","1","@Dorayakii02 Sebelum mengakses kembali Coretax silakan coba beberapa langkah berikut: 1. Clear cache &amp; cookies pd browser 2. Gunakan browser/perangkat berbeda 3. Gunakan Incognito/Private Window 4. Coba secara berkala. (3/4)","1987814713443643746","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987814713443643746","4564565058",
"1987814600151327159","Mon Nov 10 09:28:27 +0000 2025","0","@kring_pajak halo kak kalau mau aktivasi akun coretax tapi nomor teleponnya tidak sesuai dengan sistem (padahal realnya sudah sesuai) itu gimana yaa?","1987814600151327159","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1987814600151327159","1561250120456216576",
